position;description;par_code;min;max;original_unit;convertion;final_unit
1;Valor medio della velocita del vento, riferito al periodo di 10 minuti precedente |’ora d’osservazione ed espresso in decimi di m/s.;FF;0;102;(m/s)/10;X/10;m/s
2;Direzione media di provenienza del vento, riferita al periodo di 10 minuti precedente l’ora d’osservazione ed espressa in gradi sessagesimali, calcolati a partire dal Nord geografico in senso orario;DD;0;360;gradi;X;gradi
3;Temperatura media dell’aria, in decimi di °C;Tmedia;-35;45;°C/10;X/10;°C
4;Temperatura minima dell’aria, in decimi di °C;Tmin;-40;40;°C/10;X/10;°C
5;Temperatura massima dell’aria, in decimi di °C;Tmax;-30;50;°C/10;X/10;°C
6;Temperatura media del terreno a 10 cm di profondita, riferita all’ora precedente, in decimi di °C;6;;;°C/10;X/10;°C
7;Temperatura minima del terreno a 10 cm di profondita, in decimi di °C;7;;;°C/10;X/10;°C
8;Temperatura massima del terreno a 10 cm di profondita, in decimi di °C;8;;;°C/10;X/10;°C
9;Umidita relativa media dell’aria (capannina), in %;UR media;0;100;%;X;%
10;Umidita relativa minima dell’ aria (capannina), in %;UR min;0;100;%;X;%
11;Umidita relativa massima dell’aria (capannina), in %;UR max;0;100;%;X;%
12;Pressione media livello della stazione, in decimi di mbar;12;;;hPa/10;X/10;hPa
13;Pressione media livello del mare, in decimi di mbar;P;960;1060;hPa/10;X/10;hPa
14;Pressione minima a livello del mare, in decimi di mbar;Pmin;;;hPa/10;X/10;hPa
15;Pressione massima a livello del mare, in decimi di mbar;Pmax;;;hPa/10;X/10;hPa
16;Radiazione globale integrale misurata nell’ ora precedente, in cal/cm2;RADSOL;0;100;cal/cm2;X;cal/cm2
17;Insolazione misurata nell’ora precedente, in minuti;INSOL;0;60;minuti;X;minuti
18;Precipitazione misurata nell’intervallo di un’ora, in decimi di mm;PREC;0;989;mm/10;X/10;mm
19;Bagnatura fogliare misurata nell’ora precedente, in minuti;Bagnatura_f;0;60;mm;X;mm
