NOAA_CODE;description;par_code;min;max;original_unit;convertion;final_unit
TEMP;Temperatura media (°F);Tmedia;-35;45;°F;(X-32)/1.8;°C
DEWP;Punto di rugiada medio (°F);DEWP;;;°F;(X-32)/1.8;°C
SLP;Pressione media livello del mare, in hPa;P;960;1060;hPa;X;hPa
STP;Pressione media livello della stazione, in hPa;STP;;;hPa;X;hPa
VISIB;Visibilità orizzontale media (miglia);VISIB;;;miglia;X*1609.34;m
WDSP;Velicità media del vento (nodi);FF;0;102;nodi;X*0.5144;m/s
MXSPD;Velocità massima del vento (nodi);MXSPD;;;nodi;X*0.5144;m/s
GUST;Raffica massima del vento (nodi);GUST;;;nodi;X*0.5144;m/s
MAX;Temperatura massima (°F);Tmax;-30;50;°F;(X-32)/1.8;°C
MIN;Temperatura minima (°F);Tmin;-40;40;°F;(X-32)/1.8;°C
PRCP;Precipitazione cumulata (inches);PREC;0;989;inches;X*25.4;mm
SNDP;altezza manto nevoso (inches);SNDP;;;inches;X*25.4;mm
